producto,precio,tienda,direccion,busqueda,fecha_consulta
azúcar morena zulka 1 kg,42.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar aurrera estándar 1 kg,27.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar mascabado metco genuino 1.2 kg,67.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar morena zulka 2 kg,74.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar mascabado great value 1 kg,37.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar mascabado zulka 500 g,25.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar great value refinada 2 kg,71.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar mascabado metco genuino 60 sobres de 4 g c/u,24.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar glass zulka 500 g,24.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
alimento líquido silk de soya sin azúcar 946 ml,54.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar glass great value 1 kg,49.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar mascabado metco genuino 690 g,41.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar aires de campo orgánica estándar 1 kg,69.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar de coco a de coco orgánico 200 g,57.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar de coco nbf orgánica 300 g,85.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar domino refinada 50 sobres de 4 g c/u,20.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar domino mascabado 200 g,21.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar domino mascabado 500 g,28.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar mascabado domino 1 kg,42.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar tía ofilia de dátil 200 g,115.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
cátsup heinz sin azúcar añadida 369 g,36.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
conserva de frambuesa smuckers sin azúcar 365 g,86.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
fresas rebanadas aurrera con azúcar 226 g,15.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
yoghurt lala natural sin azúcar 900 g,36.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar y stevia zulka balance 500 g,32.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
yoghurt danone natural sin azúcar 900 g,48.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar metco bc baja en calorías 900 g,73.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
bimbuñuelos bimbo con azúcar 99 g,24.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
refresco coca cola sin azúcar de 2.5 l,29.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
chocolate turin sin azúcar 18 g,18.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
cajeta las sevillanas sin azúcar 360 g,89.5,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
refresco sprite sin azúcar 2 l,23.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
azúcar metco bc baja en calorías 1.5 kg,109.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
refresco coca cola sin azúcar 600 ml,14.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
refresco sprite sin azúcar 600 ml,15.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
piloncillo don zabor 4 pzas,53.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
yoghurt griego vitalínea sin azúcar 900g,95.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
concentrado deliciosa de jamaica sin azúcar 700 ml,48.0,Chapala Ajijic,"Paseo Centenario De La Revolución No. 20, Colonia Centro San Antonio Tlayacapan, San Antonio Tlayacapan, Jalisco 45915.",azucar,11:57:18 01/09/23
