id_sucursal,sucursal,store_name,producto,precio,contenido,busqueda
1445,Pedregal,Selecto Chedraui,Papa blanca,44.9,"Precio por kg, unidad: 230 g aprox",papa
1445,Pedregal,Selecto Chedraui,Papa cambray,49.8,"Precio por kg, unidad: 50 g aprox",papa
1445,Pedregal,Selecto Chedraui,Papa cambray roja,17.5,"Precio por kg, unidad: 50 g aprox",papa
1445,Pedregal,Selecto Chedraui,Papaya maradol,32.9,"Precio por kg, unidad: 2.2 kg aprox",papa
1445,Pedregal,Selecto Chedraui,Papas onduladas sabor queso,57.0,Bolsa 185 g,papa
1445,Pedregal,Selecto Chedraui,Papas fritas adobadas,57.0,Bolsa 160 g,papa
1445,Pedregal,Selecto Chedraui,Nachos sabor queso,57.0,Bolsa 223 g,papa
1445,Pedregal,Selecto Chedraui,Papas originales sabor sal,95.0,Bolsa 340 g,papa
1445,Pedregal,Selecto Chedraui,Papas sal de mar,75.5,Bolsa 240 g,papa
1445,Pedregal,Selecto Chedraui,Papas onduladas sabor original con sal,57.0,Bolsa 185 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor jalapeño,75.5,Bolsa 240 g,papa
1445,Pedregal,Selecto Chedraui,Papas saladas sabor original,57.0,Bolsa 160 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor limón,57.0,Bolsa 160 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor fuego con limón,75.5,Bolsa 240 g,papa
1445,Pedregal,Selecto Chedraui,Papas fritas con sal original,35.0,Bolsa 105 g,papa
1445,Pedregal,Selecto Chedraui,Papas fritas sabor jalapeño,42.0,Bolsa 150 g,papa
1445,Pedregal,Selecto Chedraui,Papas receta crujiente sabor jalapeño,57.0,Bolsa 160 g,papa
1445,Pedregal,Selecto Chedraui,Papas onduladas sabor queso,59.5,Bolsa 400 g,papa
1445,Pedregal,Selecto Chedraui,Papas adobadas,35.0,Bolsa 105 g,papa
1445,Pedregal,Selecto Chedraui,Papas saladas sabor original,74.5,Bolsa 240 g,papa
1445,Pedregal,Selecto Chedraui,Ruffles sabor queso,20.0,Bolsa 61 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor queso,54.0,Lata 124 g,papa
1445,Pedregal,Selecto Chedraui,Papas onduladas sabor original,35.0,Bolsa 120 g,papa
1445,Pedregal,Selecto Chedraui,Papas adobadas super max,20.0,Bolsa 67 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor original,24.9,Tubo 37 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor crema y cebolla,24.9,Tubo 40 g,papa
1445,Pedregal,Selecto Chedraui,Prispas papas,25.35,130 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor queso cheddar,24.9,Tubo 40 g,papa
1445,Pedregal,Selecto Chedraui,Papas caseras con sal de mar,43.0,170 g,papa
1445,Pedregal,Selecto Chedraui,Papas backyard barbeque tamaño fiesta,77.0,241 g,papa
1445,Pedregal,Selecto Chedraui,Papas fritas chile y limón,42.0,Bolsa 150 g,papa
1445,Pedregal,Selecto Chedraui,Papas toreadas sabor habanero,49.5,Bolsa 170 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor jalapeño,38.6,Bolsa 100 g,papa
1445,Pedregal,Selecto Chedraui,Papas estilo clásicas sal,43.0,170 g,papa
1445,Pedregal,Selecto Chedraui,Papas Adobadas Sabor Chile,43.0,170 g,papa
1445,Pedregal,Selecto Chedraui,Papas honey dijon,59.0,Bolsa 141 g,papa
1445,Pedregal,Selecto Chedraui,Papas original,34.0,67 g,papa
1445,Pedregal,Selecto Chedraui,Papas fritas con pimienta y sal,69.0,Bolsa 141 g,papa
1445,Pedregal,Selecto Chedraui,Papas Kettle Sabor Ligera Salado 56 Gramos,39.0,,papa
1445,Pedregal,Selecto Chedraui,Papas original,57.0,Bote 163 g,papa
1445,Pedregal,Selecto Chedraui,Papas Onduladas con sal,43.0,170 g,papa
1445,Pedregal,Selecto Chedraui,Botana Veggie chips de vegetales,57.0,42.5 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor queso,34.0,Lata 71 g,papa
1445,Pedregal,Selecto Chedraui,Papas sal de mar,77.0,Bolsa 240 g,papa
1445,Pedregal,Selecto Chedraui,Papas sabor fuego limón,22.9,55 g,papa
1445,Pedregal,Selecto Chedraui,Papas sal y pimienta,39.0,Bolsa 56 g,papa
1445,Pedregal,Selecto Chedraui,Papas fuego limón,38.6,Bolsa 100 g,papa
1445,Pedregal,Selecto Chedraui,Papas jalapeño,54.0,158 g,papa
1445,Pedregal,Selecto Chedraui,Papas con aceite de aguacate bolsa,56.9,142 grs,papa
1445,Pedregal,Selecto Chedraui,Papas fritas con chile jalapeño,77.0,Bolsa 241 g,papa
1445,Pedregal,Selecto Chedraui,Papas Fritas en Tiras Pik Nik Original Bote,99.0,,papa
1445,Pedregal,Selecto Chedraui,Papas amaranto chipotle,69.0,Bolsa 100 g,papa
1445,Pedregal,Selecto Chedraui,Papas con aceite de coco bolsa,56.9,142 grs,papa
1445,Pedregal,Selecto Chedraui,Bugles papas sabor original,105.0,243 g,papa
1445,Pedregal,Selecto Chedraui,Papas receta crujiente flamin hot,57.0,Bolsa 160 g,papa
1445,Pedregal,Selecto Chedraui,Papas congeladas corte grueso,69.0,500 g,papa
1445,Pedregal,Selecto Chedraui,Tortitas de papa horneables,53.0,Bolsa 488 g,papa
1445,Pedregal,Selecto Chedraui,Papas en gajo sazonadas con paprika,80.0,Bolsa 750 g,papa
1445,Pedregal,Selecto Chedraui,Papas tradicional corte grueso,99.0,Bolsa 1 kg,papa
1445,Pedregal,Selecto Chedraui,Papas congeladas corte ondulado,116.0,Bolsa 1 kg,papa
1445,Pedregal,Selecto Chedraui,Papas congeladas,64.9,1 kg,papa
1445,Pedregal,Selecto Chedraui,Papas a la francesa corte delgado,82.5,Bolsa 800 g,papa
1445,Pedregal,Selecto Chedraui,Papas corte delgado,49.5,Doypack 400 g,papa
1445,Pedregal,Selecto Chedraui,Papas congeladas corte ondulado,48.9,500 g,papa
1445,Pedregal,Selecto Chedraui,Papas congeladas corte ondulado,82.0,1 kg,papa
1445,Pedregal,Selecto Chedraui,Papas congeladas corte recto,45.0,500 g,papa
1445,Pedregal,Selecto Chedraui,Papas corte recto selecto,44.0,500 g,papa
1445,Pedregal,Selecto Chedraui,Papa cocida en cubos,17.0,430 g,papa
1445,Pedregal,Selecto Chedraui,Hamburguesa de papa,79.0,"Precio por kg, unidad: 200 g aprox",papa
1445,Pedregal,Selecto Chedraui,Gnocchi de papa,65.5,500 g,papa
1445,Pedregal,Selecto Chedraui,Ñoquis Gallo bolitas de patata 400 g,44.0,,papa
1445,Pedregal,Selecto Chedraui,Combinado primavera,47.0,Bolsa 500 g,papa
1445,Pedregal,Selecto Chedraui,Tortilla española de papa,113.0,500 g,papa
1445,Pedregal,Selecto Chedraui,Papa gajo,74.0,"Granel, precio por kg",papa
1445,Pedregal,Selecto Chedraui,Puré de papa,98.0,"A granel, precio por kg",papa
1445,Pedregal,Selecto Chedraui,Caprice barquillos de vainilla,107.0,250 g,papa
1445,Pedregal,Selecto Chedraui,Caprice galleta con avellana y cocoa,107.0,250 g,papa
1445,Pedregal,Selecto Chedraui,Caprice galletas avellana y crema de cacao,69.0,115 g,papa
1445,Pedregal,Selecto Chedraui,Caprice galleta de chocolate amargo,69.0,115 g,papa
