id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address
1445,Pedregal,Selecto Chedraui,Chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.335124,-99.198477,Av. San Jerónimo 236
4414,La Comer Coyoacán,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
4414,La Comer Coyoacán,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
4414,La Comer Coyoacán,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
4414,La Comer Coyoacán,La Comer,,masa de maíz blanco,15.0,"a granel, precio por kg",tortilla+de+maíz,19.345009,-99.171911,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
10002,San Jeronimo,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.330351,-99.208839,"Anillo Perif. 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX"
10002,San Jeronimo,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.330351,-99.208839,"Anillo Perif. 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX"
4417,La Comer Insurgentes,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.366487,-99.182073,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
4417,La Comer Insurgentes,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.366487,-99.182073,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
4417,La Comer Insurgentes,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.366487,-99.182073,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
4417,La Comer Insurgentes,La Comer,,masa de maíz blanco,15.0,"a granel, precio por kg",tortilla+de+maíz,19.366487,-99.182073,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
10353,Mixcoac Revolucion,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.379341,-99.186723,Av. Revolucion 780
138,Universidad,Selecto Chedraui,Chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.3735484,-99.1621604,Av. Universidad 740
138,Universidad,Selecto Chedraui,,tortillas blancas de maíz,12.8,"a granel, precio por kg",tortilla+de+maíz,19.3735484,-99.1621604,Av. Universidad 740
4413,La Comer Olivar,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
4413,La Comer Olivar,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
4413,La Comer Olivar,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
4413,La Comer Olivar,La Comer,,masa de maíz blanco,15.0,"a granel, precio por kg",tortilla+de+maíz,19.334805,-99.227039,"AV DE LAS TORRES 446, SAN JOSE DEL OLIVAR, 1770 ALVARO OBREGON, MEXICO, DISTRITO FEDERAL"
10362,Tacubaya,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.408929,-99.184396,Gral Jose Moran 3
10362,Tacubaya,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.408929,-99.184396,Gral Jose Moran 3
