id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address,fecha_consulta
1445,Pedregal,Selecto Chedraui,chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.335124,-99.198477,av. san jerónimo 236,2023-05-15 17:18:44
4414,La Comer Coyoacán,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.345009,-99.171911,"miguel angel de quevedo 443, romero de terreros, 4310 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
4414,La Comer Coyoacán,La Comer,f/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.345009,-99.171911,"miguel angel de quevedo 443, romero de terreros, 4310 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
4414,La Comer Coyoacán,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.345009,-99.171911,"miguel angel de quevedo 443, romero de terreros, 4310 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
10002,San Jeronimo,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.330351,-99.208839,"anillo perif. 630, jardines del pedregal, álvaro obregón, 01900 ciudad de méxico, cdmx",2023-05-15 17:18:44
10002,San Jeronimo,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.330351,-99.208839,"anillo perif. 630, jardines del pedregal, álvaro obregón, 01900 ciudad de méxico, cdmx",2023-05-15 17:18:44
4417,La Comer Insurgentes,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.366487,-99.182073,"perpetua 35, san jose insurgentes, 3900 benito juarez, mexico, distrito federal",2023-05-15 17:18:44
4417,La Comer Insurgentes,La Comer,f/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.366487,-99.182073,"perpetua 35, san jose insurgentes, 3900 benito juarez, mexico, distrito federal",2023-05-15 17:18:44
4417,La Comer Insurgentes,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.366487,-99.182073,"perpetua 35, san jose insurgentes, 3900 benito juarez, mexico, distrito federal",2023-05-15 17:18:44
10353,Mixcoac Revolucion,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.379341,-99.186723,av. revolucion 780,2023-05-15 17:18:44
10353,Mixcoac Revolucion,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.379341,-99.186723,av. revolucion 780,2023-05-15 17:18:44
138,Universidad,Selecto Chedraui,chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.3735484,-99.1621604,av. universidad 740,2023-05-15 17:18:44
