producto,precio,tienda,direccion,busqueda,fecha_consulta
"huevo blanco nutri campo fresco, de libre pastoreo 12 pzas",73.5,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo blanco aires de campo orgánico 12 pzas,81.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo blanco bachoco gallina libre 12 pzas,51.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo blanco aurrera fresco 18 pzas,47.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo blanco el calvario fresco 30 pzas,76.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo blanco bachoco fresco 18 pzas,52.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo rojo bachoco fresco 18 pzas,60.5,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo rojo bachoco fresco 30 pzas,95.5,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo rojo aires de campo orgánico 12 pzas,81.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo blanco gallinita libre 12 pzas,64.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo rojo doña pris de gallina  libre pastoreo 12 pzas,74.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo blanco doña pris de gallina libre pastoreo 12 pzas,74.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
