id_tienda,tienda,codigo_postal,d_codigo,d_asenta,d_tipo_asenta,D_mnpio,c_mnpio,d_zona
1445,Chedraui,01000,01000,San Ángel,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01000,01000,San Ángel,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01000,01000,San Ángel,Colonia,Álvaro Obregón,10,Urbano
4414,La Comer,01000,01000,San Ángel,Colonia,Álvaro Obregón,10,Urbano
10002,Soriana,01000,01000,San Ángel,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01000,01000,San Ángel,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01000,01000,San Ángel,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01010,01010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01010,01010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01010,01010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01010,01010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01010,01010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01010,01010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01010,01010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01020,01020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01020,01020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01020,01020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01020,01020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01020,01020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01020,01020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01020,01020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano
138,Chedraui,01030,01030,Axotla,Pueblo,Álvaro Obregón,10,Urbano
58,City Market,01030,01030,Axotla,Pueblo,Álvaro Obregón,10,Urbano
92,Costco,01030,01030,Axotla,Pueblo,Álvaro Obregón,10,Urbano
4417,La Comer,01030,01030,Axotla,Pueblo,Álvaro Obregón,10,Urbano
10353,Soriana,01030,01030,Axotla,Pueblo,Álvaro Obregón,10,Urbano
4434,Fresko,01030,01030,Axotla,Pueblo,Álvaro Obregón,10,Urbano
4423,Sumesa,01030,01030,Axotla,Pueblo,Álvaro Obregón,10,Urbano
1445,Chedraui,01040,01040,Campestre,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01040,01040,Campestre,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01040,01040,Campestre,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01040,01040,Campestre,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01040,01040,Campestre,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01040,01040,Campestre,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01040,01040,Campestre,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01049,01049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano
49,City Market,01049,01049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano
92,Costco,01049,01049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano
4417,La Comer,01049,01049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano
10002,Soriana,01049,01049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano
4434,Fresko,01049,01049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano
4423,Sumesa,01049,01049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano
1445,Chedraui,01050,01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01050,01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01050,01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano
4414,La Comer,01050,01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01050,01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01050,01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01050,01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01060,01060,Altavista,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01060,01060,Altavista,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01060,01060,Altavista,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01060,01060,Altavista,Colonia,Álvaro Obregón,10,Urbano
10002,Soriana,01060,01060,Altavista,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01060,01060,Altavista,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01060,01060,Altavista,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01070,01070,Chimalistac,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01070,01070,Chimalistac,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01070,01070,Chimalistac,Colonia,Álvaro Obregón,10,Urbano
4414,La Comer,01070,01070,Chimalistac,Colonia,Álvaro Obregón,10,Urbano
10002,Soriana,01070,01070,Chimalistac,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01070,01070,Chimalistac,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01070,01070,Chimalistac,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01080,01080,Progreso Tizapan,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01080,01080,Progreso Tizapan,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01080,01080,Progreso Tizapan,Colonia,Álvaro Obregón,10,Urbano
4413,La Comer,01080,01080,Progreso Tizapan,Colonia,Álvaro Obregón,10,Urbano
10002,Soriana,01080,01080,Progreso Tizapan,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01080,01080,Progreso Tizapan,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01080,01080,Progreso Tizapan,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01089,01089,Ermita Tizapan,Colonia,Álvaro Obregón,10,Urbano
49,City Market,01089,01089,Ermita Tizapan,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01089,01089,Ermita Tizapan,Colonia,Álvaro Obregón,10,Urbano
4413,La Comer,01089,01089,Ermita Tizapan,Colonia,Álvaro Obregón,10,Urbano
10002,Soriana,01089,01089,Ermita Tizapan,Colonia,Álvaro Obregón,10,Urbano
4434,Fresko,01089,01089,Ermita Tizapan,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01089,01089,Ermita Tizapan,Colonia,Álvaro Obregón,10,Urbano
1445,Chedraui,01090,01090,La Otra Banda,Barrio,Álvaro Obregón,10,Urbano
49,City Market,01090,01090,La Otra Banda,Barrio,Álvaro Obregón,10,Urbano
92,Costco,01090,01090,La Otra Banda,Barrio,Álvaro Obregón,10,Urbano
4414,La Comer,01090,01090,La Otra Banda,Barrio,Álvaro Obregón,10,Urbano
10002,Soriana,01090,01090,La Otra Banda,Barrio,Álvaro Obregón,10,Urbano
4434,Fresko,01090,01090,La Otra Banda,Barrio,Álvaro Obregón,10,Urbano
4423,Sumesa,01090,01090,La Otra Banda,Barrio,Álvaro Obregón,10,Urbano
46322,Chedraui,01100,01100,Pólvora,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01100,01100,Pólvora,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01100,01100,Pólvora,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01100,01100,Pólvora,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01100,01100,Pólvora,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01100,01100,Pólvora,Colonia,Álvaro Obregón,10,Urbano
4418,Sumesa,01100,01100,Pólvora,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01109,01109,La Conchita,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01109,01109,La Conchita,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01109,01109,La Conchita,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01109,01109,La Conchita,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01109,01109,La Conchita,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01109,01109,La Conchita,Colonia,Álvaro Obregón,10,Urbano
4418,Sumesa,01109,01109,La Conchita,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01110,01110,Belém de las Flores,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01110,01110,Belém de las Flores,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01110,01110,Belém de las Flores,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01110,01110,Belém de las Flores,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01110,01110,Belém de las Flores,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01110,01110,Belém de las Flores,Colonia,Álvaro Obregón,10,Urbano
4419,Sumesa,01110,01110,Belém de las Flores,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01120,01120,Acueducto,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01120,01120,Acueducto,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01120,01120,Acueducto,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01120,01120,Acueducto,Colonia,Álvaro Obregón,10,Urbano
10362,Soriana,01120,01120,Acueducto,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01120,01120,Acueducto,Colonia,Álvaro Obregón,10,Urbano
4419,Sumesa,01120,01120,Acueducto,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01125,01125,Ampliación Acueducto,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01125,01125,Ampliación Acueducto,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01125,01125,Ampliación Acueducto,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01125,01125,Ampliación Acueducto,Colonia,Álvaro Obregón,10,Urbano
10362,Soriana,01125,01125,Ampliación Acueducto,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01125,01125,Ampliación Acueducto,Colonia,Álvaro Obregón,10,Urbano
4419,Sumesa,01125,01125,Ampliación Acueducto,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01130,01130,Paraíso,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01130,01130,Paraíso,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01130,01130,Paraíso,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01130,01130,Paraíso,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01130,01130,Paraíso,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01130,01130,Paraíso,Colonia,Álvaro Obregón,10,Urbano
4419,Sumesa,01130,01130,Paraíso,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01139,01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01139,01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01139,01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01139,01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,10,Urbano
10362,Soriana,01139,01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01139,01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,10,Urbano
4419,Sumesa,01139,01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón,10,Urbano
138,Chedraui,01140,01140,Bellavista,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01140,01140,Bellavista,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01140,01140,Bellavista,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01140,01140,Bellavista,Colonia,Álvaro Obregón,10,Urbano
10362,Soriana,01140,01140,Bellavista,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01140,01140,Bellavista,Colonia,Álvaro Obregón,10,Urbano
4418,Sumesa,01140,01140,Bellavista,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01150,01150,Cristo Rey,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01150,01150,Cristo Rey,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01150,01150,Cristo Rey,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01150,01150,Cristo Rey,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01150,01150,Cristo Rey,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01150,01150,Cristo Rey,Colonia,Álvaro Obregón,10,Urbano
4418,Sumesa,01150,01150,Cristo Rey,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01160,01160,Bosque,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01160,01160,Bosque,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01160,01160,Bosque,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01160,01160,Bosque,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01160,01160,Bosque,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01160,01160,Bosque,Colonia,Álvaro Obregón,10,Urbano
4418,Sumesa,01160,01160,Bosque,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01170,01170,Abraham M. González,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01170,01170,Abraham M. González,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01170,01170,Abraham M. González,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01170,01170,Abraham M. González,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01170,01170,Abraham M. González,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01170,01170,Abraham M. González,Colonia,Álvaro Obregón,10,Urbano
4418,Sumesa,01170,01170,Abraham M. González,Colonia,Álvaro Obregón,10,Urbano
138,Chedraui,01180,01180,Carola,Colonia,Álvaro Obregón,10,Urbano
58,City Market,01180,01180,Carola,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01180,01180,Carola,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01180,01180,Carola,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01180,01180,Carola,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01180,01180,Carola,Colonia,Álvaro Obregón,10,Urbano
4418,Sumesa,01180,01180,Carola,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01200,01200,Arturo Martínez,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01200,01200,Arturo Martínez,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01200,01200,Arturo Martínez,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01200,01200,Arturo Martínez,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01200,01200,Arturo Martínez,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01200,01200,Arturo Martínez,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01200,01200,Arturo Martínez,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01210,01210,Santa Fe,Pueblo,Álvaro Obregón,10,Urbano
38,City Market,01210,01210,Santa Fe,Pueblo,Álvaro Obregón,10,Urbano
40,Costco,01210,01210,Santa Fe,Pueblo,Álvaro Obregón,10,Urbano
4412,La Comer,01210,01210,Santa Fe,Pueblo,Álvaro Obregón,10,Urbano
9993,Soriana,01210,01210,Santa Fe,Pueblo,Álvaro Obregón,10,Urbano
4431,Fresko,01210,01210,Santa Fe,Pueblo,Álvaro Obregón,10,Urbano
4423,Sumesa,01210,01210,Santa Fe,Pueblo,Álvaro Obregón,10,Urbano
46322,Chedraui,01219,01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,10,Urbano
38,City Market,01219,01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,10,Urbano
40,Costco,01219,01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,10,Urbano
4412,La Comer,01219,01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,10,Urbano
9993,Soriana,01219,01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01219,01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,10,Urbano
4419,Sumesa,01219,01219,Lomas de Santa Fe,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01220,01220,Bonanza,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01220,01220,Bonanza,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01220,01220,Bonanza,Colonia,Álvaro Obregón,10,Urbano
4412,La Comer,01220,01220,Bonanza,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01220,01220,Bonanza,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01220,01220,Bonanza,Colonia,Álvaro Obregón,10,Urbano
4419,Sumesa,01220,01220,Bonanza,Colonia,Álvaro Obregón,10,Urbano
137,Chedraui,01230,01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón,10,Urbano
30,City Market,01230,01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón,10,Urbano
40,Costco,01230,01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón,10,Urbano
4412,La Comer,01230,01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón,10,Urbano
9993,Soriana,01230,01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01230,01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01230,01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón,10,Urbano
137,Chedraui,01239,01239,La Huerta,Colonia,Álvaro Obregón,10,Urbano
30,City Market,01239,01239,La Huerta,Colonia,Álvaro Obregón,10,Urbano
40,Costco,01239,01239,La Huerta,Colonia,Álvaro Obregón,10,Urbano
4412,La Comer,01239,01239,La Huerta,Colonia,Álvaro Obregón,10,Urbano
9993,Soriana,01239,01239,La Huerta,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01239,01239,La Huerta,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01239,01239,La Huerta,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01240,01240,Pueblo Nuevo,Colonia,Álvaro Obregón,10,Urbano
30,City Market,01240,01240,Pueblo Nuevo,Colonia,Álvaro Obregón,10,Urbano
40,Costco,01240,01240,Pueblo Nuevo,Colonia,Álvaro Obregón,10,Urbano
4412,La Comer,01240,01240,Pueblo Nuevo,Colonia,Álvaro Obregón,10,Urbano
9993,Soriana,01240,01240,Pueblo Nuevo,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01240,01240,Pueblo Nuevo,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01240,01240,Pueblo Nuevo,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01250,01250,El Árbol,Colonia,Álvaro Obregón,10,Urbano
30,City Market,01250,01250,El Árbol,Colonia,Álvaro Obregón,10,Urbano
40,Costco,01250,01250,El Árbol,Colonia,Álvaro Obregón,10,Urbano
4412,La Comer,01250,01250,El Árbol,Colonia,Álvaro Obregón,10,Urbano
9993,Soriana,01250,01250,El Árbol,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01250,01250,El Árbol,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01250,01250,El Árbol,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01259,01259,Ampliación La Cebada,Colonia,Álvaro Obregón,10,Urbano
30,City Market,01259,01259,Ampliación La Cebada,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01259,01259,Ampliación La Cebada,Colonia,Álvaro Obregón,10,Urbano
4413,La Comer,01259,01259,Ampliación La Cebada,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01259,01259,Ampliación La Cebada,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01259,01259,Ampliación La Cebada,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01259,01259,Ampliación La Cebada,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01260,01260,Calzada Jalalpa,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01260,01260,Calzada Jalalpa,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01260,01260,Calzada Jalalpa,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01260,01260,Calzada Jalalpa,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01260,01260,Calzada Jalalpa,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01260,01260,Calzada Jalalpa,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01260,01260,Calzada Jalalpa,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01269,01269,1a Sección Cañada,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01269,01269,1a Sección Cañada,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01269,01269,1a Sección Cañada,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01269,01269,1a Sección Cañada,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01269,01269,1a Sección Cañada,Colonia,Álvaro Obregón,10,Urbano
4431,Fresko,01269,01269,1a Sección Cañada,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01269,01269,1a Sección Cañada,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01270,01270,El Tejocote,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01270,01270,El Tejocote,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01270,01270,El Tejocote,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01270,01270,El Tejocote,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01270,01270,El Tejocote,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01270,01270,El Tejocote,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01270,01270,El Tejocote,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01275,01275,Villa Solidaridad,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01275,01275,Villa Solidaridad,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01275,01275,Villa Solidaridad,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01275,01275,Villa Solidaridad,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01275,01275,Villa Solidaridad,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01275,01275,Villa Solidaridad,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01275,01275,Villa Solidaridad,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01276,01276,El Pirul,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01276,01276,El Pirul,Colonia,Álvaro Obregón,10,Urbano
92,Costco,01276,01276,El Pirul,Colonia,Álvaro Obregón,10,Urbano
4417,La Comer,01276,01276,El Pirul,Colonia,Álvaro Obregón,10,Urbano
10353,Soriana,01276,01276,El Pirul,Colonia,Álvaro Obregón,10,Urbano
4432,Fresko,01276,01276,El Pirul,Colonia,Álvaro Obregón,10,Urbano
4423,Sumesa,01276,01276,El Pirul,Colonia,Álvaro Obregón,10,Urbano
46322,Chedraui,01278,01278,Desarrollo Urbano,Colonia,Álvaro Obregón,10,Urbano
54,City Market,01278,01278,Desarrollo Urbano,Colonia,Álvaro Obregón,10,Urbano
